endpoint,method,legacy_behavior,mlb_app_equivalent,classification,risk,owner,status,next_action,frontend_references,legacy_source,notes
/api/app/status,GET,app_status_payload(query,GET /api/app/status -> app_status,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/API_CONTRACTS.md; docs/TROUBLESHOOTING.md; docs/TRUST_SURFACE.md; public/app-pages.js; public/simple-user-ui.js; public/trust-surface.js,app.py:do_GET,
/api/ballpark-context,GET,"{""environment"": ballpark_environment_context(team, opponent, date",TBD,PORT,MEDIUM,TBD,NEEDS_OWNER_REVIEW,Assign owner and decide whether current UI/product still requires it.,,app.py:do_GET,
/api/data-health,GET,data_health_query_payload(query,GET /api/data-health -> data_health,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/datahealth.js,app.py:do_GET,
/api/data-health/dashboard,GET,data_health_dashboard_payload(query,GET /api/data-health/dashboard -> data_health_dashboard,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/API_CONTRACTS.md; docs/DATA_HEALTH_DASHBOARD.md; public/data-health-dashboard.js,app.py:do_GET,
/api/dataset-sources,GET,"{""sources"": load_dataset_sources(",TBD,PORT,MEDIUM,TBD,NEEDS_OWNER_REVIEW,Assign owner and decide whether current UI/product still requires it.,,app.py:do_GET,
/api/edge-board,GET,edge_board_payload(query,GET /api/edge-board -> edge_board,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",public/simple-user-ui.js,app.py:do_GET,
/api/exposure/summary,GET,exposure_summary_payload(,GET /api/exposure/summary -> exposure_summary,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/MY_PICKS_AND_RISK_CONTROLS.md,app.py:do_GET,
/api/game-context,GET,game_context_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/baseball-tools-ui.js; public/outlier-ui.js,app.py:do_GET,
/api/game/lineup,GET,game_lineup_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,,app.py:do_GET,
/api/grading/health,GET,grading_health_payload(query,GET /api/grading/health -> grading_health,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/datahealth.js,app.py:do_GET,
/api/incremental-stats/lookup,GET,incremental_stats_lookup_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/outlier-ui.js; public/unified-prop-card.js,app.py:do_GET,
/api/incremental-stats/status,GET,incremental_stats_status_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/incremental-stats-ui.js,app.py:do_GET,
/api/insights/feed,GET,insights_feed_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/outlier-ui.js,app.py:do_GET,
/api/model-card,GET,model_card_payload(parse_qs(parsed.query,GET /api/model-card -> model_card,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",,app.py:do_GET,
/api/model-cards,GET,model_cards_payload(parse_qs(parsed.query,GET /api/model-cards -> model_cards,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",public/app-pages.js; public/model-cards.js,app.py:do_GET,
/api/model/performance,GET,model_performance_payload(query,TBD,PORT,MEDIUM,TBD,NEEDS_OWNER_REVIEW,Assign owner and decide whether current UI/product still requires it.,,app.py:do_GET,
/api/odds-market-signals,GET,odds_market_signals_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/baseball-tools-ui.js,app.py:do_GET,
/api/odds-movement/status,GET,odds_movement_status_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/odds-movement-ui.js,app.py:do_GET,
/api/player-recent,GET,"player_recent_payload(query.get(""playerId"", [""""]",Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/app.js,app.py:do_GET,
/api/player/autofill,GET,player_autofill_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/simple-user-ui.js,app.py:do_GET,
/api/player/hit-rates,GET,player_hit_rates_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/outlier-ui.js,app.py:do_GET,
/api/player/profile,GET,player_profile_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/simple-user-ui.js,app.py:do_GET,
/api/player/search,GET,player_search_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/simple-user-ui.js,app.py:do_GET,
/api/playerboard,GET,playerboard_payload(query,GET /api/playerboard -> playerboard,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/outlier-ui.js; public/simple-user-ui.js,app.py:do_GET,
/api/playerboard/health,GET,playerboard_health_payload(query,GET /api/playerboard/health -> playerboard_health,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/datahealth.js,app.py:do_GET,
/api/players,GET,,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/app.js; public/propml-autocomplete.js,app.py:do_GET,
