endpoint,method,legacy_behavior,mlb_app_equivalent,classification,risk,owner,status,next_action,frontend_references,legacy_source,notes
/api/all-data-prop/predict,GET,all_data_prop_query_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/alldataprop.js,app.py:do_GET,
/api/espn/scoreboard,GET,espn_scoreboard(params,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,
/api/espn/team,GET,espn_team_lookup(team,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",,app.py:do_GET,
/api/espn/teams,GET,espn_teams(,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js; public/propml-autocomplete.js,app.py:do_GET,
/api/espn/teams/{param},GET,espn_team_lookup(team,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,Dynamic prefix route
/api/mlb/player,GET,"mlb_player_lookup(name, season, store",Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,
/api/mlb/status,GET,mlb_package_status(,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,
/api/model-data/sources,GET,source_capability_map(,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,,app.py:do_GET,
/api/moneyline/predict,GET,moneyline_prediction_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/moneyline.js,app.py:do_GET,
/api/predict,GET,,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/app.js,app.py:do_GET,
/api/predict-pitcher,GET,,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/app.js,app.py:do_GET,
/api/predictions/dashboard,GET,prediction_dashboard_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/prediction-dashboard-ui.js,app.py:do_GET,
/api/predictions/status,GET,prediction_status_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/prediction-history-ui.js,app.py:do_GET,
/api/prop-ml/predict,GET,prop_ml_prediction_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/propml.js,app.py:do_GET,
/api/unified-prop-card/predict,GET,unified_prop_card_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/outlier-ui.js; public/simple-user-ui.js; public/unified-prop-card.js,app.py:do_GET,
/api/all-data-prop/save-prediction,POST,save_all_data_prediction_payload(query,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/alldataprop.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/ml/predict,POST,prediction.to_dict(,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,,app.py:do_POST,Mutation/workflow-sensitive
/api/predictions/grade,POST,prediction_grade_payload(query,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/prediction-dashboard-ui.js; public/prediction-history-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/predictions/save,POST,prediction_save_payload(query,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/prediction-history-ui.js; public/simple-user-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/prop-board/analyze,POST,analyze_prop_board_payload(read_json_body(self,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/app.js,app.py:do_POST,Mutation/workflow-sensitive
/api/propline/props,POST,propline_props_payload(query,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/alldataprop.js; public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/unified-prop-card/predict,POST,,Service redesign TBD,REPLACE,HIGH,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/outlier-ui.js; public/simple-user-ui.js; public/unified-prop-card.js,app.py:do_POST,Mutation/workflow-sensitive
