endpoint,method,legacy_behavior,mlb_app_equivalent,classification,risk,owner,status,next_action,frontend_references,legacy_source,notes
/api/daily-workflow/status,GET,prop_ml_market_status_payload(,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/dailyworkflow.js,app.py:do_GET,
/api/platoon-splits/status,GET,platoon_splits_status_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,,app.py:do_GET,
/api/savant/status,GET,savant_status_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/savant-ui.js,app.py:do_GET,
/api/season-cache/lookup,GET,season_cache_lookup_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,,app.py:do_GET,
/api/season-cache/status,GET,season_cache_status_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/unified-prop-card.js,app.py:do_GET,
/api/umpire/status,GET,umpire_status_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,,app.py:do_GET,
/api/all-data-prop/build-bvp,POST,batter_pitcher_samples_payload(,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/alldataprop.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/daily-workflow/after,POST,daily_workflow_after_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/dailyworkflow.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/daily-workflow/before,POST,daily_workflow_before_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/dailyworkflow.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/import-url,POST,"{""error"": ""Dataset URL is required.""}",Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/app.js,app.py:do_POST,Legacy file/import mutation path; Mutation/workflow-sensitive
/api/incremental-features/build,POST,incremental_features_build_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/incremental-stats-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/incremental-features/cross-reference,POST,incremental_features_cross_reference_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/incremental-stats-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/incremental-stats/catchup,POST,incremental_stats_catchup_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/incremental-stats-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/model-data/refresh,POST,refresh_model_data(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/app.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/odds-movement/sync,POST,odds_movement_sync_payload(query,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/odds-movement-ui.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/autofill-game-odds,POST,pipeline_autofill_game_odds(date_label,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/create-template,POST,pipeline_create_game_odds_template(date_label,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/grade,POST,pipeline_grade_props(date_label,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/merge-game-odds,POST,pipeline_merge_game_odds(date_label,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/prepare-strikeouts,POST,pipeline_prepare_strikeouts(,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/run-after-game,POST,pipeline_run_after_game(date_label,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/pipeline.js,app.py:handle_action_post,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
