endpoint,method,classification,mutation_kind,owner,risk,required_boundary,current_status,next_action,notes
/api/season-cache/lookup,GET,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,
/api/season-cache/status,GET,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,
/api/all-data-prop/build-bvp,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/all-data-prop/save-prediction,POST,REPLACE,review_required,TBD,HIGH,router mutation middleware + rate limit,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/bankroll/settings,POST,PORT,product_mutation,risk_controls,HIGH,router mutation middleware + rate limit,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/daily-workflow/after,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/daily-workflow/before,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/import-url,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy file/import mutation path; Mutation/workflow-sensitive
/api/incremental-features/build,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/incremental-features/cross-reference,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/incremental-stats/catchup,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/ml/predict,POST,REPLACE,review_required,TBD,HIGH,router mutation middleware + rate limit,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,Mutation/workflow-sensitive
/api/model-data/refresh,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/my-picks,POST,PORT,product_mutation,bettor_state,MEDIUM,router mutation middleware + rate limit,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/my-picks/update,POST,PORT,product_mutation,bettor_state,MEDIUM,router mutation middleware + rate limit,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/ocr/parse,POST,RETIRE,review_required,TBD,LOW,router mutation middleware + rate limit,NEEDS_USAGE_CONFIRMATION,Confirm no primary Outlier UI or CI dependency; remove from production path.,Mutation/workflow-sensitive
/api/odds-movement/sync,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/autofill-game-odds,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/create-template,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/grade,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/merge-game-odds,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
/api/pipeline/prepare-strikeouts,POST,QUARANTINE,admin_workflow,ops_data,HIGH,quarantine behind CLI/scheduler/admin-only route,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,Legacy action-header gated mutation; POST-only endpoint set; Mutation/workflow-sensitive
