endpoint,method,legacy_behavior,mlb_app_equivalent,classification,risk,owner,status,next_action,frontend_references,legacy_source,notes
/api/all-data-prop/predict,GET,all_data_prop_query_payload(query,Service redesign TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,Define schema and service contract before exposing through mlb_app.,public/alldataprop.js,app.py:do_GET,
/api/app/status,GET,app_status_payload(query,GET /api/app/status -> app_status,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/API_CONTRACTS.md; docs/TROUBLESHOOTING.md; docs/TRUST_SURFACE.md; public/app-pages.js; public/simple-user-ui.js; public/trust-surface.js,app.py:do_GET,
/api/ballpark-context,GET,"{""environment"": ballpark_environment_context(team, opponent, date",TBD,PORT,MEDIUM,TBD,NEEDS_OWNER_REVIEW,Assign owner and decide whether current UI/product still requires it.,,app.py:do_GET,
/api/daily-workflow/status,GET,prop_ml_market_status_payload(,Admin boundary / CLI / scheduled workflow TBD,QUARANTINE,HIGH,TBD,NOT_PORTED,Move behind auth/rate-limit/request-id boundary or replace with operator CLI/job.,public/dailyworkflow.js,app.py:do_GET,
/api/data-health,GET,data_health_query_payload(query,GET /api/data-health -> data_health,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/datahealth.js,app.py:do_GET,
/api/data-health/dashboard,GET,data_health_dashboard_payload(query,GET /api/data-health/dashboard -> data_health_dashboard,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/API_CONTRACTS.md; docs/DATA_HEALTH_DASHBOARD.md; public/data-health-dashboard.js,app.py:do_GET,
/api/dataset-sources,GET,"{""sources"": load_dataset_sources(",TBD,PORT,MEDIUM,TBD,NEEDS_OWNER_REVIEW,Assign owner and decide whether current UI/product still requires it.,,app.py:do_GET,
/api/edge-board,GET,edge_board_payload(query,GET /api/edge-board -> edge_board,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",public/simple-user-ui.js,app.py:do_GET,
/api/espn/scoreboard,GET,espn_scoreboard(params,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,
/api/espn/team,GET,espn_team_lookup(team,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",,app.py:do_GET,
/api/espn/teams,GET,espn_teams(,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js; public/propml-autocomplete.js,app.py:do_GET,
/api/espn/teams/{param},GET,espn_team_lookup(team,Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,Dynamic prefix route
/api/exposure/summary,GET,exposure_summary_payload(,GET /api/exposure/summary -> exposure_summary,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/MY_PICKS_AND_RISK_CONTROLS.md,app.py:do_GET,
/api/game-context,GET,game_context_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/baseball-tools-ui.js; public/outlier-ui.js,app.py:do_GET,
/api/game/lineup,GET,game_lineup_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,,app.py:do_GET,
/api/github,GET,"github_repo_status(owner, repo",None planned,RETIRE,LOW,TBD,NEEDS_USAGE_CONFIRMATION,Confirm no primary Outlier UI or CI dependency; remove from production path.,public/app.js,app.py:do_GET,
/api/grading/health,GET,grading_health_payload(query,GET /api/grading/health -> grading_health,PORT,LOW,TBD,PORTED_IN_MLB_APP,"Contract-test against app.py, then retire legacy branch after parity sign-off.",docs/TRUST_SURFACE.md; public/datahealth.js,app.py:do_GET,
/api/incremental-stats/lookup,GET,incremental_stats_lookup_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/outlier-ui.js; public/unified-prop-card.js,app.py:do_GET,
/api/incremental-stats/status,GET,incremental_stats_status_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/incremental-stats-ui.js,app.py:do_GET,
/api/insights/feed,GET,insights_feed_payload(query,Thin route -> service -> repository TBD,PORT,LOW,TBD,NOT_PORTED,Port only if still used by Outlier UI; preserve API response shape.,public/outlier-ui.js,app.py:do_GET,
/api/mlb/command,GET,"mlb_command_response(command, query",None planned,RETIRE,LOW,TBD,NEEDS_USAGE_CONFIRMATION,Confirm no primary Outlier UI or CI dependency; remove from production path.,public/app.js,app.py:do_GET,
/api/mlb/player,GET,"mlb_player_lookup(name, season, store",Repository/service wrapper TBD,REPLACE,MEDIUM,TBD,NOT_PORTED,"Wrap external API access with timeout, token handling, and explicit data-health state.",public/app.js,app.py:do_GET,
